name,ratings,no_of_ratings,discount_price,actual_price
"AmazonBasics 80cms (32 inch) HD Ready Smart LED Fire TV with Front Firing Speakers 20W, 2023 Model, Black",3.9,3987,11499,26999
"KRISONS Thunder Speaker, Multimedia Home Theatre, Floor Standing Speaker, LED Display with Bluetooth, FM, USB, Micro SD Ca...",3.8,361,2190,3999
"OBAGE DT-31 100 Watts Dual Tower Home Theatre System with Optical in, Bluetooth 5.0,USB,FM,AUX",4.4,547,5999,10000
"Tronica TR-1501 Deep Bass Home Theater with Subwoofer 2.1 Channel with 55W Premium Signature Sound, Multiple Connectivity ...",3.4,170,3299,6000
"OBAGE HT-244 130 Watts 4.1 Home Theatre System with Optical in, Bluetooth 5.0, USB, FM, AUX",4.5,222,8497,15000
"KRISONS Nexon 2.1 Home Theater | Bluetooth Supporting Home Theatre 2.1 | USB, AUX, LCD Display, Built-in FM, Recording, Re...",3.5,870,1549,3490
"Obage HT-144 100W 2.1 Home Theatre Speaker System with Optical in, Bluetooth 5.0, FM, USB, Aux",4.3,1741,6999,10000
"IKALL IK-401 60W Bluetooth Home Theatre System with FM/AUX/USB Support and Remote Control (Black, 4.1 Channel)",3.2,1063,1999,2999
"Panasonic SC-HT550GW-K 150 W Bluetooth Home Theatre (Black, 5.1 Channel)",3.7,139,11290,13490
"OBAGE DT-2605 100 Watt Home Theatre Tower Speaker with Optical in, Bluetooth 5.0 with 6 Months Onsite Service",4.4,472,8998,10000
"Panasonic SC-HT240GW-K Wireless Bluetooth Home Theatre (Black, 2.1 Channel, 56W)",3.6,6,5690,7490
"AmazonBasics 108cms (43 inch) Full HD Smart LED Fire TV with Front Firing Speakers 20W, 2023 Model, Black",3.9,3987,19499,36999
"OBAGE HT-303 2.1 Home Theatre Speaker System with Bluetooth 5.0, AUX, FM, USB Port",4.4,1044,4599,6000
OBAGE HT-101Woody 65 Watt 4.1 Channel Wireless Bluetooth Home Theatre System (Brown),4.4,731,5499,6000
"Krisons Polo 7.1 Home Cinema Speaker System Multimedia with FM Stereo, Bluetooth, USB/SD/MMC/AUX Function",3.4,338,2461,3999
Yamaha YHT-1840 4K Ultra HD 5.1-Channel Home Theater System with Dolby and DTS - Black,4.1,531,40800,46990
"TECHXEWOO TS 1100 Powerfull 250 Watts RMS Home Theatre Tower Speaker with 10"" WOOFER, Dual 4"" Speaker.",4.4,10,7999,9999
"KRISONS Nexon 5.1 Home Theater Speaker System Multimedia with FM Stereo, Bluetooth, USB/SD/MMC/AUX Function",3.4,482,2185,4999
Tronica Super King 40W 5.1 Bluetooth Home Theater System with FM/PenDrive/Sd Card/Mobile/Aux Support & Remote (5.1 Speaker...,3.4,3985,2445,3500
TRONICA BT555 4.1 Home Theater System with Bluetooth/FM/USB/Aux/TV Support & Remote (6inches Woofer 90W Output),4.1,97,3049,4500
"ZEBRONICS BT8591RUCF 5.1 Home Theater Speaker with 6.5"" Subwoofer, 125W RMS Powerful Bass, Bluetooth 5.0, Wall Mount, AC-3...",4,1,6699,12999
"Panasonic SC-HT460GW-K 100 W Bluetooth Home Theatre (Black, 4.1 Channel)",4.1,582,7990,10590
"TRONICA Ridham- The Powerful Bluetooth 100W Home Theater Dj Speaker, Supports Pendrive/Sd Card/Fm/Tv/Aux/Mic with Remote w...",4.2,284,4898,6000
"VEmax Noche 100W Multimedia 5.0 Channel Wireless Bluetooth Twin Tower Home Theatre System with Karaoke MIC Support, USB, A...",2.9,4,5440,9999
"Tronica RIDHAM 3 - The Powerful Bluetooth 100W Home Theater DJ Speaker with Vivid Light Effects, Supports PenDrive/SD Car...",4.4,130,4444,6000
"KRISONS Cloudbuster Tallboy Tower Speaker, Multimedia Home Theatre, Floor Standing Speaker, RGB Lights, with Bluetooth, F...",3.6,55,2690,4999
WEON Mini Surround Board Updated Version (NO Voice - Only BGM Music & Echo Surround) Used only for Home Theater Rear Channel,3.1,56,272,396
"AKAI Zest MS2550 50W RMS 2.1 Channel Wireless Bluetooth, Wired Multimedia Computer Speakers Home Theater System with High ...",3.2,13,3299,5990
TRONICA Jacktron Multifunctional Bluetooth 5.1 Home Theater System with Pen-Drive/SD Card/FM/TV/Aux Support and Remote,3.6,27,2099,3500
"TRONICA Dhwani DJ 40W Bluetooth Tower Home Theater System with Free Wired MIC, Supports Pendrive/SD Card/FM/Aux/TV with Re...",4,65,2299,3500
"Tronica Banjo 24"" Dj Tower Home Theater System With Vivid Light Effects & Remote-Plays Bluetooth,Usb,Sd Card,Fm,Aux, Mic",3.5,114,2999,4000
"Tronica RIDHAM - The Powerful Bluetooth 90W Home Theater DJ Speaker from Tronica, Supports PenDrive/SD Card/FM/TV/Aux/Mic ...",4.1,327,3899,6000
"TRONICA 90W BT444 4.1 Channel Home Theater System/Bluetooth/USB/FM/AUX/TV Support + 6"" Subwoofer & Remote",4.2,155,3399,6000
"TRONICA BT-222 Bluetooth 35 W Home Theater with FM , Remote Control, Aux-in Port, USB/SD/Smart TV Support",3.3,122,2099,3500
Tronica 70W BT2150 5.1 Home Theater with Bluetooth/FM/SD Card/Aux Support & Remote,3.4,17,2599,4000
TRONICA 2.1 Castle Tower Home Theater by TRONICA with Bluetooth/PENDRIVE/LED TV/FM/MIC/AUX Support & All Function Remote &...,3.5,178,2099,3000
"TRONICA Series 7.1 Channel Home Theatre System â€“ Bluetooth, USB,FM, SD, RCA Inputs,AUX, LED TV Supported 4 Inch Active Sub...",3.2,276,2869,4000
TRONICA BT666 4.1 Home Theater System with Bluetooth/FM/USB/Aux/TV Support & Remote (6 inches Woofer 90W Output),5,2,3099,6000
"4.1 Home Theatre | Bluetooth, Multimedia Home Theatre",5,1,1999,3499
"Tronica RIDHAM 4 - The Powerful Bluetooth 80W Home Theater DJ Speaker from Tronica, Supports PenDrive/SD Card/FM/TV/Aux/Mi...",3.8,17,3999,6000
TRONICA Version:1 Atom Series LED Spectrum 5.1 Home Theater System with Bluetooth/SD Card/Pen Drive/FM/AUX Support & Remot...,3.3,292,2149,3500
TRONICA Version:5 Ace Series 5.1 Bluetooth Home Theater with Vivid Light Effects Supports Pen-Drive/SD Card/FM/Aux/TV and ...,3.5,55,2199,3500
ABODOS 8 Transistor STERO Sound Power Amplifier with Big LED Display INBUILT 500 WATT (DJ Series),2.4,7,2499,9599
"Zebronics Zeb-JUKEBAR 3900, 80W Multimedia soundbar, HDMI(ARC), Coaxial Input, AUX, USB & Remote Control (Black) & Zeb-HAA...",4.7,4,5048,12898
TRONICA FD-101 25W Home Theater/ 2.1 Channel Bluetooth Home Theater Music System with Remote/FM/USB/AUX/LED/TV Support/Hi-...,3.4,131,1899,2500
"TRONICA BT-333 Bluetooth Home Theater with Powerful Sound, Bass System, Excellent Clear FM Radio, Remote Control, Aux-in P...",3.4,16,2122,3500
"(Renewed) Panasonic SC-HT250GW-K 56 W Bluetooth Home Theatre (Black, 2.1 Channel)",3,15,4500,6490
Tecnia 704 Bluetooth 7.1 Home Theater System,3.1,169,2890,4999
"Krisons Verve 7.1 Home Cinema Speaker System Multimedia with FM Stereo, Bluetooth, USB/SD/MMC/AUX Function",3.3,210,2556,3999
"TRONICA RIDHAM- The Powerful Bluetooth 100W Home Theatre DJ Speaker from, Supports Pen Drive/SD Card/FM/TV/Aux/Remote/Wire...",3.3,8,4497,6000
TRONICA Republic Series 4.1 Bluetooth Subwoofer Home Theater with FM/AUX/USB/SD Card Support Along with All Function Remot...,3.4,127,2099,2500
TRONICA Premium Series PS-03 2.1 Bluetooth 50W Digital Home Theater System PenDrive FM Aux TV Compatible with All Function...,5,1,2299,5000
"Tronica BT-777 Wireless Bluetooth Home Theater Speaker Supports SD Card, USB, AUX, FM & Remote Control. (70 Watt, 5.1 Chan...",3.5,44,2699,4500
IKALL 7.1 Home Theater System (Black)-IK4444,2.8,49,2599,4999
TRONICA Version: 3 Ace Series 5.1 Home Theater System with Bluetooth/PenDrive/Fm/TV/Aux Support with Remote & LED Spectrum,3.5,266,2249,3500
IKALL IK666 5.1 Home Theater (Black),2.9,18,2398,3999
MYPCB Hifi Pre Amp with Bass Treble Board - Input Buffer & High gain to Drive Power Amps - PCB only,3.6,23,179,350
"BARRY JOHN Mini Bahubali with AUX, USB, Bluetooth, FM & MMC 50 W Bluetooth (Black)",3.1,6,1695,1995
Krisons KES444 Bluetooth 5.1 Home Theater (5000 Watt),2.8,13,3686,4999
"PHOXWAVE PW-6002 Single Tower Speaker Compatible with Bluetooth, Supports mic and Many Other Important Features",5,4,2340,6000
"Altec Lansing AL-3003A Multimedia Bluetooth Home Theatre System Supporting Bluetooth,USB,FM Radio & Remote Control (Black,...",5,1,4719,8900
"Yamaha YHT-3072IN 4K Ultra HD 5.1-Channel Home Theater System Dolby TrueHD, 135 Watts, DTS HD and Bluetooth, Surround Soun...",4,39,74990,75990
AuraSound AST-2B-4 Pro Bass Shaker Tactile Transducer,4.6,435,17229.18,27566.69
TRONESLA Tiger 40W 5.1 Bluetooth Home Theater System with FM/Pen Drive/Sd Card/Mobile/Aux Support & Remote,2.9,2,2299,4999
IKALL IK999 5.1 Home Theater (Black),3.8,7,2199,3999
"(Renewed) Panasonic SC-HT550GW-K 150 W Bluetooth Home Theatre (Black, 5.1 Channel)",3.1,24,9742,11290
TRONICA Version:2 Atom Series LED Spectrum 5.1 Home Theater System with Bluetooth/SD Card/Pen Drive/FM/AUX Support & Remot...,3.3,128,2149,3500
Tecnia Atom 508 Bluetooth 5.1 Channel Home Theater System,2.8,70,2590,4000
TRONICA Version: 4 Ace Series 5.1 Home Theater System with Bluetooth/PenDrive/Fm/TV/Aux Support with Remote & LED Spectrum,3.5,25,2199,3500
Impex FUSION 140 Watts 5.1 Channel Multimedia Speaker System with USB/SD/MMC Card/Bluetooth/FM Radio & Remote Function (Bl...,3.7,37,8999,13970
DENON AVCX4700H,4.8,6,149900,212900
SALCON 5.1 Home Theatre Prologic Module,3.4,2,859,1300
"AKAI Zest MS4580 80W 4.1 Channel Multimedia Speakers Home Theater System with High Bass and Supporting Bluetooth 5.0, USB,...",3.2,7,4490,7990
Zebronics Zeb-Jukebar 3820A PRO with Alexa with Wipro smartbulb,3.1,2,6898,30998
Jack Martin 400 4.1 Bluetooth/SD Card/Pendrive Multimedia Home Theatre System with Built in FM Radio,3.7,38,6599,8499
JACK MARTIN X5 Home Theatre System with USB/SD/Bluetooth/FM Remote Controlled,4.1,29,8989,13900
"Zinitex F-209 Acrylic Tower Multimedia sapeaker with Bluetooth,USB,AUX,FM",3,2,1998,5999
MYPCB Compact Bass Treble Board with Gain Control - PCB only,4.4,3,129,200
Krisons Alpha 5.1 Bluetooth Home Theater,3.1,30,2388,3990
"Krisons Bluetooth Multimedia Home Theatre with Tower Speaker, Black, Compatible with TV/Laptop/Smartphones/Multimedia Devices",3.3,46,3390,4999
IKALL IK404 4.1 Home Theater (Black),2,3,2299,2999
"TECHXEWOO TS 1000 Powerfull 250 Watts Home Theatre Tower Speaker with 10"" WOOFER, Dual 4"" Speaker.",4,4,6999,9999
"Classic Gold HT IM-104 Bahubali Multimedia Home Audio Sound System with Bluetooth FM,USB and Aux Connectivity (Black, 4.1 ...",3.2,19,1999,3200
Tronica 60W BT2150 4.1 Home Theater with Bluetooth/FM/SD Card/Aux Support & Remote,3.4,17,2600,4000
Yamaha HPH-MT5 Monitor Headphones (Black),4,9,6999,7999
PYLE PTA22BT 2 x 40W Bluetooth Mini Blue Series Stereo Power Amplifier,4.2,1050,8952,11952
Krisons Home Theatre,3.5,12,2690,2999
"Pioneer VSX-834 7.2-CH AV Receiver with 5.2.2ch Dolby Atmos, DTS:X, Dolby Atmos Height Virtualizer, DTS Virtual:X, Dialog ...",4.5,3,66900,75600
"Oscar OSC-4140 BT 4.1 Channel Multimedia Home Theater System, Bluetooth Connectivity, 25W + 10W x 4 RMS, Support USB/SD/MM...",3.6,6,4180,5990
"TECH-UNIQUE Made In Japan Genuine 2100 MOSFET BASED Amplifier with Big LED Display With EQUALIZER BLUTHOOTH,FM,SD CARD,AUX...",4,1,5999,9999
"WEBOOT 16.7"" inch Bluetooth Multimedia Speaker System/Home Theatre / 6"" Subwoofer | 3"" x 4 Satellites with Deep Bass, FM, ...",2.3,3,3695,8999
Krisons Alpha 5.1 Bluetooth Home Theater Black,3,1,1990,3900
Krisons 5.25'' Woofer 5.1 BT Home Theater,3.9,4,4159,4999
"Tech-lobby Sterio Sound Amplifier with USB,AUX,MIC,BLUTHOOTH,AV,2RC-Build in BLUTHOOTH with 8 Transistor 4 Channel Circuit...",1,1,2499,3599
"Tech-lobby Transistor Digital Sound Amplifiers with 4 Channel with Bluetooth, FM & USB Player 300W AV Power Amplifier (Black)",1,1,2399,2799
Whitleys 4-Way AV Switch RCA Switcher 4 in 1 Out Composite Video L/R Audio Selector Box,5,1,2740,4931
FLAWISH F Connector Screw on Type for RG6 Satellite TV Antenna Coax Cable Twist-on 10 PCS,5,1,533,1086
Rockville MacSwivelS (2) 360 Degree Rotation Swivel Clamp Mounts for Tower Pods,5,5,14298,21775
KRISONS X-Stream 5.1 Bluetooth Multimedia Home Theater,1,1,2992,4999
"Pyle Home Theater Audio & Video Component Receiver, Black (PT589BT)",3.4,350,73989,99385
"POWER ACOUSTIK RZ4-3000D Razor Series Class D Amp (4 Channels, 3,000 Watts Max)",4.1,67,36270,51819
"Home Audio Power Amplifier System - 2X40W Mini Dual Channel Mixer Sound Stereo Receiver Box w/ AUX, Mic Input - For Amplif...",4.2,1050,12770,15794
Lywjyb Birdgot Theatre Gift Drama Gift Tragedy and Comedy Gift with Mask Theatre Lover Gift Musical Jewelry Eat Sleep Thea...,5,1,3137.69,5020.3
"Cerwin-Vega B54 Stealth Bomber Class D Amp (b54, 4 Channels, 1,200W)",4.4,232,71148.04,113836.86
"POWER ACOUSTIK MA4-3000D Razor Marine Series Class D Amp (4 Channels, 3,000 Watts Max)",3.9,17,69155,76070
OmniMount MOD1 1-Shelf Modular Wall System,4.1,30,27196.68,43514.69
